Position_Eng_Srce;Source
Local Sales Department;Asia Directory & Chronicle
Local Secretary;Asia Directory & Chronicle
Local Sub-Manager;Asia Directory & Chronicle
Locksmith;Asia Directory & Chronicle
Locomotive and Works Superintendent;Asia Directory & Chronicle
Locomotive Driver;Asia Directory & Chronicle
Locomotive Inspector;Asia Directory & Chronicle
Locomotive Inspector.;Asia Directory & Chronicle
Locomotive Superintendent;Asia Directory & Chronicle
Locomotive Supt;Asia Directory & Chronicle
Locomotive Supt.;Asia Directory & Chronicle
Lord Bishop of Victoria Diocese;Asia Directory & Chronicle
Machinery Artificer;Asia Directory & Chronicle
Machinery Merchant;Asia Directory & Chronicle
Machinist;Asia Directory & Chronicle
Machinista;Asia Directory & Chronicle
Machinista Naval;Asia Directory & Chronicle
Maekinnon;Asia Directory & Chronicle
Magasiner;Asia Directory & Chronicle
Magasinier;Asia Directory & Chronicle
Magasinverwalter;Asia Directory & Chronicle
Magistrate and Acting Puisne Judge;Asia Directory & Chronicle
Mains Superintendent;Asia Directory & Chronicle
Maintenance Assistant;Asia Directory & Chronicle
Maintenance Department;Asia Directory & Chronicle
Major Commandant;Asia Directory & Chronicle
Major Commanding;Asia Directory & Chronicle
Major In Charge;Asia Directory & Chronicle
Major of Marines;Asia Directory & Chronicle
Major Paymaster;Asia Directory & Chronicle
Major-General;Asia Directory & Chronicle
Major-General Chief of Artillery;Asia Directory & Chronicle
Malariologist;Asia Directory & Chronicle
Manager (Detached);Asia Directory & Chronicle
Manager (Pro Tempore);Asia Directory & Chronicle
Manager (Signs Per Pro.);Asia Directory & Chronicle
Manager Agent;Asia Directory & Chronicle
Manager and Acting Secretary;Asia Directory & Chronicle
Manager and Attorney;Asia Directory & Chronicle
Manager and Chief Engineer;Asia Directory & Chronicle
Manager and Director;Asia Directory & Chronicle
Manager and Editor;Asia Directory & Chronicle
Manager and Engineer;Asia Directory & Chronicle
Manager and Municipal Sexton;Asia Directory & Chronicle
Manager and Proprietor;Asia Directory & Chronicle
Manager and Second Vice-President;Asia Directory & Chronicle
Manager and Secretary;Asia Directory & Chronicle
Manager and Signs Per Pro.;Asia Directory & Chronicle
Manager and Traffic Superintendent;Asia Directory & Chronicle
Manager Bishop;Asia Directory & Chronicle
Manager Bridge Works;Asia Directory & Chronicle
Manager Building Department;Asia Directory & Chronicle
Manager Cables;Asia Directory & Chronicle
Manager Director;Asia Directory & Chronicle
Manager Eastern Extension;Asia Directory & Chronicle
Manager for Asia;Asia Directory & Chronicle
Manager for China;Asia Directory & Chronicle
Manager for Far East;Asia Directory & Chronicle
Manager Funishing Departmen;Asia Directory & Chronicle
Manager Furnishing Department;Asia Directory & Chronicle
Manager In China;Asia Directory & Chronicle
Manager In China and Japan;Asia Directory & Chronicle
Manager In the Far East;Asia Directory & Chronicle
Manager Music Department;Asia Directory & Chronicle
Manager of Bridgeworks;Asia Directory & Chronicle
Manager of Foreign Exchange;Asia Directory & Chronicle
Manager of Printing Office;Asia Directory & Chronicle
Manager of Tannery;Asia Directory & Chronicle
Manager Oil Wharf;Asia Directory & Chronicle
Manager Per Pro.;Asia Directory & Chronicle
Manager Printing Office;Asia Directory & Chronicle
Manager Printing Office and Director;Asia Directory & Chronicle
Manager Pro Tempore;Asia Directory & Chronicle
Manager Representative for China;Asia Directory & Chronicle
Manager Steam-Boat Dock;Asia Directory & Chronicle
Manager Tailoring Department;Asia Directory & Chronicle
Manageress;Asia Directory & Chronicle
Managing Clerk;Asia Directory & Chronicle
Managing Director and Chairman;Asia Directory & Chronicle
Managing Director and Editor;Asia Directory & Chronicle
Managing Director and Editor-in-Chief;Asia Directory & Chronicle
Managing Director for the East;Asia Directory & Chronicle
Managing Editor;Asia Directory & Chronicle
Managing Engineer;Asia Directory & Chronicle
Managing Partner;Asia Directory & Chronicle
Managing Proprietor;Asia Directory & Chronicle
Managing-Director and Editor-in-Chief;Asia Directory & Chronicle
Manufacturers' Agent;Asia Directory & Chronicle
Manufacturers' Representative;Asia Directory & Chronicle
Manufacturers’ Representative;Asia Directory & Chronicle
Manufacturers’ Representatives;Asia Directory & Chronicle
Manufacturing Chemist;Asia Directory & Chronicle
Marine and Cargo Surveyor;Asia Directory & Chronicle
Marine and Engineer Superintendent;Asia Directory & Chronicle
Marine Artillery;Asia Directory & Chronicle
Marine Engineer;Asia Directory & Chronicle
Marine Guard;Asia Directory & Chronicle
Marine Ober Assistenz-Arzt.;Asia Directory & Chronicle
Marine Oberzahnneister;Asia Directory & Chronicle
Marine Officer;Asia Directory & Chronicle
Marine Reporter;Asia Directory & Chronicle
Marine Sorter;Asia Directory & Chronicle
Marine Superintendent;Asia Directory & Chronicle
Marine Surveyor;Asia Directory & Chronicle
Marine Surveyor and Pilot;Asia Directory & Chronicle
Marine-Ober Stabs-Argt.;Asia Directory & Chronicle
Maritime Customs;Asia Directory & Chronicle
Marshal;Asia Directory & Chronicle
Marshal and Clerk;Asia Directory & Chronicle
Marshall;Asia Directory & Chronicle
Maschinenmeister;Asia Directory & Chronicle
Mason;Asia Directory & Chronicle
Masseuse;Asia Directory & Chronicle
Master;Asia Directory & Chronicle
Master and Diver;Asia Directory & Chronicle
Master and Superior;Asia Directory & Chronicle
Master Artificer;Asia Directory & Chronicle
Master Attendant;Asia Directory & Chronicle
Master Attendant and Staff Commandant;Asia Directory & Chronicle
Master Carpenter;Asia Directory & Chronicle
Master Gunner;Asia Directory & Chronicle
Master In Charge;Asia Directory & Chronicle
Master Lightship;Asia Directory & Chronicle
Master of Dredger;Asia Directory & Chronicle
Master of Governor’s Yacht;Asia Directory & Chronicle
Master of Steam Tug;Asia Directory & Chronicle
Master of Steamer Chinlung;Asia Directory & Chronicle
Master of Steamer Gem;Asia Directory & Chronicle
Master of Tug;Asia Directory & Chronicle
Master Spinner;Asia Directory & Chronicle
Master-Gunner;Asia Directory & Chronicle
Master-In Charge;Asia Directory & Chronicle
Mate;Asia Directory & Chronicle
Mate Ana Lightkeeper;Asia Directory & Chronicle
Mate and Lightkeeper;Asia Directory & Chronicle
Mate Lightship;Asia Directory & Chronicle
Matron;Asia Directory & Chronicle
Mecanicien;Asia Directory & Chronicle
Mecanicien Fontainier;Asia Directory & Chronicle
Mechanic;Asia Directory & Chronicle
Mechanical Engineer;Asia Directory & Chronicle
Mechanical Enginer;Asia Directory & Chronicle
Mechanical Foreman;Asia Directory & Chronicle
Mechanician;Asia Directory & Chronicle
Mechanist;Asia Directory & Chronicle
Médecin Major;Asia Directory & Chronicle
Medical Attendant;Asia Directory & Chronicle
Medical Department;Asia Directory & Chronicle
Medical Doctor;Asia Directory & Chronicle
Medical Doctor and Assistant Surgeon;Asia Directory & Chronicle
Medical Doctor and Surgeon;Asia Directory & Chronicle
Medical Missionary;Asia Directory & Chronicle
Medical Officer of Health;Asia Directory & Chronicle
Medical Officer of Health and Superintendent;Asia Directory & Chronicle
Medical Practitioner;Asia Directory & Chronicle
Medical Practitioner and Health Officer;Asia Directory & Chronicle
Medical Practitioner and Health Officer of Port;Asia Directory & Chronicle
Medical Practitioner and Medical Officer;Asia Directory & Chronicle
Medical Practitioner and Surgeon;Asia Directory & Chronicle
Medical Specialist;Asia Directory & Chronicle
Medical Superintendent;Asia Directory & Chronicle
Medico Municipal;Asia Directory & Chronicle
Medico Naval;Asia Directory & Chronicle
Mental Ward Attendant;Asia Directory & Chronicle
Merchant;Asia Directory & Chronicle
Merchant and Agent;Asia Directory & Chronicle
Merchant and Baker;Asia Directory & Chronicle
Merchant and British Vice Consul;Asia Directory & Chronicle
Merchant and Broker;Asia Directory & Chronicle
Merchant and Civil Engineer;Asia Directory & Chronicle
Merchant and Commercial Agent;Asia Directory & Chronicle
Merchant and Commission Agent;Asia Directory & Chronicle
Merchant and Cycle Commission Agent;Asia Directory & Chronicle
Merchant and Engineer;Asia Directory & Chronicle
Merchant and Importer;Asia Directory & Chronicle
Merchant and Manager;Asia Directory & Chronicle
Merchant and Representative;Asia Directory & Chronicle
Merchant and Shipowner;Asia Directory & Chronicle
Merchant and Steamship Agent;Asia Directory & Chronicle
Merchant and Storekeeper;Asia Directory & Chronicle
Merchant Director;Asia Directory & Chronicle
Merchant, Shipping and Commission Agent;Asia Directory & Chronicle
Messenger;Asia Directory & Chronicle
Meter Inspector;Asia Directory & Chronicle
Meter Inspector and Collector;Asia Directory & Chronicle
Meter Reader;Asia Directory & Chronicle
Meter Superintendent;Asia Directory & Chronicle
Meters Assistant;Asia Directory & Chronicle
Meters Engineering Assistant;Asia Directory & Chronicle
Midshipman;Asia Directory & Chronicle
Military;Asia Directory & Chronicle
Military Agent;Asia Directory & Chronicle
Military Agent  for Russia;Asia Directory & Chronicle
Military Assistant;Asia Directory & Chronicle
Military Attache;Asia Directory & Chronicle
Military Attaché;Asia Directory & Chronicle
Military Chaplain;Asia Directory & Chronicle
Military Foreman of Works;Asia Directory & Chronicle
Military Instructor;Asia Directory & Chronicle
Military Mechanist;Asia Directory & Chronicle
Military Staff Clerk;Asia Directory & Chronicle
Military Writer;Asia Directory & Chronicle
Mill Assistant;Asia Directory & Chronicle
Mill Clerk;Asia Directory & Chronicle
Mill Manager;Asia Directory & Chronicle
Miller;Asia Directory & Chronicle
Milliner;Asia Directory & Chronicle
Milliner and Draper;Asia Directory & Chronicle
Mine Assistant;Asia Directory & Chronicle
Mine Manager;Asia Directory & Chronicle
Mining Engineer;Asia Directory & Chronicle
Mining Expert;Asia Directory & Chronicle
Minister Resident;Asia Directory & Chronicle
Misionary;Asia Directory & Chronicle
Missionary Agent;Asia Directory & Chronicle
Missionary and Principal;Asia Directory & Chronicle
Missionary and Teacher;Asia Directory & Chronicle
Missionary Apostolic;Asia Directory & Chronicle
Mistress;Asia Directory & Chronicle
Mixed Court Assessor;Asia Directory & Chronicle
Money Order Clerk;Asia Directory & Chronicle
Monopoly Analyst;Asia Directory & Chronicle
Motor Engineer;Asia Directory & Chronicle
Motor-Car Dealer;Asia Directory & Chronicle
Moulder;Asia Directory & Chronicle
Municipal Engineer;Asia Directory & Chronicle
Municipal Superintendent;Asia Directory & Chronicle
Music Dealer;Asia Directory & Chronicle
Music Teacher;Asia Directory & Chronicle
Musical Instrument Dealer;Asia Directory & Chronicle
Naval Architect;Asia Directory & Chronicle
Naval Engineer;Asia Directory & Chronicle
Naval Instructor;Asia Directory & Chronicle
Naval Lieutenant;Asia Directory & Chronicle
Naval Midshipman;Asia Directory & Chronicle
Naval Officer In Charge;Asia Directory & Chronicle
Naval Schoolmaster;Asia Directory & Chronicle
Naval Staff Officer;Asia Directory & Chronicle
Naval Store Officer;Asia Directory & Chronicle
Naval Store Officer and Cashier;Asia Directory & Chronicle
Naval Storekeeper;Asia Directory & Chronicle
Naval Sub-Lieutenant;Asia Directory & Chronicle
Naval-Lieutenant;Asia Directory & Chronicle
Naval-Midshipman;Asia Directory & Chronicle
Navigating Lieutenant;Asia Directory & Chronicle
Navigating Sub-Lieutenant;Asia Directory & Chronicle
Navy Contractor and Coal Merchant;Asia Directory & Chronicle
Navy Officer;Asia Directory & Chronicle
Navy Sub-Lieutenant;Asia Directory & Chronicle
News Editor;Asia Directory & Chronicle
News Foreman;Asia Directory & Chronicle
Northern Division Manager;Asia Directory & Chronicle
Norwegian Adviser;Asia Directory & Chronicle
Norwegian Missionary;Asia Directory & Chronicle
Notary;Asia Directory & Chronicle
Notary-Public and Practitionner At Law;Asia Directory & Chronicle
Nurse;Asia Directory & Chronicle
O.S.B;Asia Directory & Chronicle
Oberleutnant;Asia Directory & Chronicle
Observador;Asia Directory & Chronicle
Offg. 2Nd Co. Officer and Offg. Adjutant;Asia Directory & Chronicle
Officaiting Consul for Great Britain;Asia Directory & Chronicle
Office Assistant;Asia Directory & Chronicle
Office Manager;Asia Directory & Chronicle
Office of Inspectorate General of Customs;Asia Directory & Chronicle
Office Secretary;Asia Directory & Chronicle
Office Superintendent;Asia Directory & Chronicle
Office-Gunner;Asia Directory & Chronicle
Officer Commanding;Asia Directory & Chronicle
Officer In Charge;Asia Directory & Chronicle
Officer In Charge of Cattle Markets;Asia Directory & Chronicle
Officer In Charge of Radio Stations;Asia Directory & Chronicle
Officer In Charge of Works;Asia Directory & Chronicle
Officer In Charge. Gunpowder Depot;Asia Directory & Chronicle
Officer In Charghe;Asia Directory & Chronicle
Officer In Command;Asia Directory & Chronicle
Officer of Health;Asia Directory & Chronicle
Official de Deligencia;Asia Directory & Chronicle
Official Measurer;Asia Directory & Chronicle
Official Privisorio;Asia Directory & Chronicle
Official Receiver;Asia Directory & Chronicle
Officiating Consul;Asia Directory & Chronicle
Officiating Second Company Officer;Asia Directory & Chronicle
Officier;Asia Directory & Chronicle
Officier Payeur;Asia Directory & Chronicle
Oil Wharf Manager;Asia Directory & Chronicle
Operator;Asia Directory & Chronicle
Opium Inspector;Asia Directory & Chronicle
Opthalmologist;Asia Directory & Chronicle
Optician;Asia Directory & Chronicle
Optometrist;Asia Directory & Chronicle
Orderly Officer;Asia Directory & Chronicle
Orderly Room Clerk;Asia Directory & Chronicle
Ordnance Officer In Charge;Asia Directory & Chronicle
Ordnance Store Officer In Charge;Asia Directory & Chronicle
Organist;Asia Directory & Chronicle
Oriental Manager;Asia Directory & Chronicle
Out-Door Assistant;Asia Directory & Chronicle
Outfitter;Asia Directory & Chronicle
Outside Superintendent;Asia Directory & Chronicle
Overlooke;Asia Directory & Chronicle
Overman;Asia Directory & Chronicle
Overseer;Asia Directory & Chronicle
Overseer of Convicts;Asia Directory & Chronicle
Overseer of Drains;Asia Directory & Chronicle
Overseer of Markets;Asia Directory & Chronicle
Overseer of Roads;Asia Directory & Chronicle
Overseer of Taxes;Asia Directory & Chronicle
Overseer of Water Works;Asia Directory & Chronicle
Overseer of Works;Asia Directory & Chronicle
Packet Agent;Asia Directory & Chronicle
Packet Agent and Interpreter;Asia Directory & Chronicle
Pagador;Asia Directory & Chronicle
Painter;Asia Directory & Chronicle
Paper Merchant;Asia Directory & Chronicle
Parocho Da Egreja de Taipa;Asia Directory & Chronicle
Part Proprietor;Asia Directory & Chronicle
Partner;Asia Directory & Chronicle
Partner and General Manager;Asia Directory & Chronicle
Partner and Manager;Asia Directory & Chronicle
Partner. Boyes;Asia Directory & Chronicle
Passanger Agent;Asia Directory & Chronicle
Passenger Agent;Asia Directory & Chronicle
Pastry Cook;Asia Directory & Chronicle
Pathologist;Asia Directory & Chronicle
Patrol Officer;Asia Directory & Chronicle
Pattern Maker;Asia Directory & Chronicle
Paymaster In Charge;Asia Directory & Chronicle
Paymaster, In Charge;Asia Directory & Chronicle
Paymaster, Naval and Victualling Storekeeper;Asia Directory & Chronicle
